tiempo_dias,Caudal_Prod_Petroleo_bbl,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua
1941.0,14689.16510528203,68128.03007371502,51793714.10252272,42938647822.58824,40086976.7766564,115119890.599002
1951.0,13935.315314274872,65828.42857401371,51933068.00503746,43049227367.09794,40558624.52705562,115778169.61456864
1961.0,13449.519568192323,68499.7738604447,52067563.02873237,43155797425.6092,41038678.60954894,116463167.74628627
1971.0,13334.312838893378,46375.55489116291,52200907.01705637,43261373023.106186,41490604.65827883,116926928.07397991
1981.0,12473.70671621113,80081.83386928002,52325643.39934162,43359991913.7806,41969520.28502279,117727746.78121632
1991.0,12330.367825460427,64866.3700762969,52448945.70477132,43457399370.12855,42440419.54794037,118376414.96592642
2001.0,11043.857362860555,60732.72363695423,52559385.347176366,43544595519.97085,42876693.40256912,118983733.93463454
2011.0,7618.129432801047,42600.1236172404,52635567.535222605,43604665485.510216,43149086.23758551,119409742.81808664
2021.0,11633.189290914905,62325.79020146997,52751897.58541376,43696472318.23687,43597571.7598242,120033000.16728592
2031.0,10211.548478450812,61128.30605219792,52854015.80817009,43777032700.94758,44032524.75419124,120644281.71677916
2041.0,8030.532024379992,31691.122499941717,52934317.82227068,43838644081.05907,44254617.97247994,120961187.54261485
2051.0,15202.46648869667,65807.71028131136,53086342.54858158,43953942795.10923,44688567.74202917,121619265.28423686
2061.0,17186.722121626764,76525.36356159147,53258211.62787183,44083774200.79978,45202052.16876504,122384521.40137967
2071.0,13869.854292957898,74842.53206094996,53396908.2451611,44189919353.2413,45721386.11951701,123132945.98490198
2081.0,14092.669611006482,64272.898175138085,53537837.74527372,44296539134.80328,46195527.77988654,123775676.5882452
2091.0,8853.315592333118,41999.02900595896,53626373.12167224,44363190624.14619,46483698.60521947,124195659.83297963
2101.0,14240.575371198098,66296.8720589388,53768774.43750504,44470542690.63685,46923035.597693205,124858631.04738072
2111.0,16615.00504204475,73238.85144075984,53934926.07880536,44595207419.33052,47444011.18905615,125591016.61343952
2121.0,13612.658463842534,65019.972906302166,54071050.1634897,44697221038.28548,47893493.64630189,126241219.5119775
2131.0,12261.102359274635,54340.2489048353,54193663.73464008,44788914864.07869,48306426.01316316,126784621.42364088
2141.0,13264.109889925585,58767.65530518896,54326303.26415784,44887701005.0146,48682607.01569532,127372303.60312504
2151.0,15290.258180965144,73220.04957477648,54479208.56397654,45002118264.98393,49182502.30626261,128104500.47486076
2161.0,15625.763382645671,74396.5758780063,54635466.332935646,45118922231.38751,49705119.53823652,128848471.8723579
2171.0,13950.737328328369,65791.19338564678,54774974.33581425,45223092022.63251,50174276.52357082,129506373.49927837
2181.0,11039.022531510618,58782.24963174123,54885360.51482775,45305189299.638,50567861.43250357,130094206.63422102
2191.0,14031.669502845476,72482.55083481398,55025679.90329568,45409856321.39013,51052242.90480666,130819031.84773429
2201.0,12909.603194478455,65679.0824225862,55154771.97953915,45506165350.34503,51506876.71707303,131475813.88833769
2208.0,15015.77151462561,74202.46396398917,55259887.29712739,45584447513.27759,51851064.59712359,131995239.04134582
2209.0,17773.21933515928,74202.46396398917,55277656.01255265,45597569878.38864,51900269.786777295,132069433.64918874
2211.0,17244.506686879475,74202.46396398917,55312149.33481533,45623055202.01803,51998834.26644858,132217848.02411766
2217.0,15970.413072396355,57521.87351716251,55407968.31208551,45693621251.5353,52179936.78794919,132562969.94106756
2221.0,16003.718664630373,57521.87351716251,55471986.00610257,45740650216.955696,52300540.76455855,132793063.7986557
2231.0,11134.9766967156,43572.5934716517,55583334.52616387,45823081994.48417,52645907.98412848,133228784.14993668
2241.0,13735.609215532377,60320.87616417249,55720691.41375914,45924837957.63088,53051144.76751266,133832002.16202275
2251.0,16608.411182804914,68921.17275485469,55886773.867140986,46047766899.82691,53566066.41600948,134521214.4669563
2261.0,16510.605853810077,72488.85293037065,56051881.39985349,46169809867.66478,54088579.86610569,135246102.57857725
2271.0,16365.144766163832,72921.47397739471,56215529.69646735,46290668522.84019,54617018.31794724,135975305.50038642
2281.0,9060.089282401035,51885.74853013609,56306134.4206092,46357862445.46361,54945384.17900586,136494164.57042527
2291.0,14362.738360943356,71803.3986890939,56449762.24954215,46464477706.748245,55429391.40756813,137212209.36792845
2301.0,15659.463623651149,78032.2277781129,56606353.37847207,46580418300.18034,55968811.8690141,137992523.29205465
2304.0,15417.473289224392,74608.75257080719,56652608.64687465,46614555434.6339,56122289.54161287,138216352.49811587
2305.0,19873.414177792933,74608.75257080719,56672478.15909708,46629648640.66415,56173476.02165913,138290962.2334696
2306.0,22070.0015989555,74608.75257080719,56694549.10508901,46646568038.73879,56224662.501705386,138365571.96882334
2307.0,23805.411986502477,74608.75257080719,56718356.03885346,46664933925.561455,56275842.69194088,138440181.7041771
2309.0,22767.98785822393,74608.75257080719,56763894.26882826,46699947993.8185,56378190.49279032,138589401.1748846
2311.0,22485.727993125183,74608.75257080719,56808866.41583376,46734496473.50978,56480569.74269361,138738608.0659705
2317.0,21681.70866899628,83088.98379906635,56938952.2821789,46833684919.12874,56804400.65018706,139237151.04722226
2321.0,21494.28275011894,83088.98379906635,57024933.9954048,46899215379.691925,57021348.8032659,139569504.64830905
2331.0,16001.611823718156,24153.65344075292,57184946.7813936,47020987130.889534,57303786.46608198,139811033.38187706
2341.0,17171.84678057965,80509.78669737322,57356664.90522537,47151347409.02858,57611697.86251656,140616141.7400586
2351.0,18599.95169422448,85532.2374515782,57542667.18931581,47292502109.44981,58162207.26035004,141471455.3678063
2361.0,18946.69440450239,81010.6988734411,57732135.15914052,47436328293.77757,58715232.58249152,142281570.41536075
2371.0,17263.144243841263,73054.81919419738,57904765.30553394,47567099917.154335,59229978.11628678,143012119.3566747
2381.0,17487.109725040904,81231.5179136574,58079634.62456148,47699340630.66583,59767568.24279868,143824435.83799866
2391.0,17289.892831195422,70634.18183392688,58252535.23281801,47829890760.45305,60287603.50745151,144530769.0078481
2401.0,16323.043266681145,79223.6800971348,58415762.11211028,47953081878.734665,60796166.15725986,145323008.41319424
